job_title,company_name,location,job_description
3rd Year Electrical Apprentice,Clique Electrical,"St George NSW+1 location",4th year Electrical Apprentice needed. Qualities needed: Can work without direct supervision. Listening to task before proceeding Ask questions if not sure Be punctual and keen to learn Work in a team environment If you are interested and can fill the above points; please enquire within this add and/or please email your resume to apply. Start date asap (pending trial) Must have own vehicle to drive to a from job site if needed. Applicants for this position should have an AU residency or a valid AU work visa. Job Types: Full-time; Apprenticeship Salary: $45;000.00 – $70;000.00 per year Job Types: Full-time; Permanent; Apprenticeship Salary: $45;000.00 – $70;000.00 per year Schedule: 8 hour shift Supplemental pay types: Performance bonus Licence/Certification: White Card (Preferred) Driver Licence (Preferred) Work Authorisation: Australia (Preferred) Expected Start Date: 04/01/2023
Electrical Apprentice,Alerton Australia,Silverwater NSW,Job Description You will be working for a market-leading; stable and highly reputable national company in the commercial building services sector; specialising in Building Automation and Energy Management Systems. You will learn everything you need to become a fully-qualified Electrician in a commercial setting; including how to draw cables; install cable trays; lay ELV and LV cables; test and commission electro-mechanical and electronic control systems. We are interested in applications from 1st year apprentices or students who have started their electrical pre-apprenticeship who want to succeed as Electricians in the commercial sector. We are currently looking for apprentice electricians to join our Sydney team. We offer: · Ongoing Training and Development while you work towards your A-Grade license · Offer of employment on successful completion of your Apprenticeship · Varied; Challenging and fast-paced work · Supportive and friendly working environment The successful candidate will need to demonstrate: · Completed or being in the process of completing a Pre-apprenticeship in Electrotechnology · Some industry or work experience · Self motivation and a great work ethic · A positive attitude and a strong desire to excel in your career · High Energy · Physical fitness · Ability to multi-task · Good communication skills Interested candidates should apply by sending a cover letter and a current CV . Please note: only shortlisted candidates will be contacted. Job Types: Full-time; Permanent Salary: $15.00 – $25.00 per hour Schedule: 8 hour shift Education: High School (Year 9-11) (Preferred) Licence/Certification: Australian driver's licence (Preferred) White Card (Preferred) Certificate II in Electrotechnology (Preferred)
1st Year Light Vehicle Mechanic Apprenticeship,Apprenticeships R Us,"Rockdale NSW+9 locations",Apprenticeships R Us is looking for a 1st-year Light Vehicle Mechanic Apprentice in the Brookvale area. Our mechanic roles are entry-level and do not require experience. If you do have experience; PERFECT! We have opportunities for experienced apprentices looking to continue in workshops that can give them more challenges or a change in scenery. What do Light Vehicle Mechanic apprentices do? Communicate with customers Repair motor vehicles Replace broken or defective vehicle parts Test and replace electrical components Repair and replace electrical wiring Diagnose electrical components for faults Use special test equipment Tune engines Remove and replace electronic components Repair and replace tires Maintain and repair braking systems What we are looking for: Have a good work ethic and want to excel in a new career Results driven and have a positive attitude Enjoy being part of a great team Recent school leaver or apprentice looking to continue their apprenticeship Requirements: A passionate interest in the automotive industry is ESSENTIAL Provisional license or in the process of obtaining it Australian Citizen or Permanent Resident As an apprentice; you will receive: Personal Protective Equipment (PPE) kit Award wages paid weekly; including superannuation and tax Quality training and mentoring in all aspects of the light vehicle mechanics trade A safe working environment with some of the best equipment in the industry Ongoing career support and guidance The opportunity to learn from highly skilled; experienced and passionate team Job Type: Full-time Schedule: 8 hour shift
Lead Technician - Electrical & Data Communications Projects,AllianceSI,Sydney NSW,About Us Alliance SI is a fast-growing company with big goals. What started as a bunch of people passionate about electrical cabling has grown to become one of Australia's leading electrical and telecommunications infrastructure providers – and that passion has grown with us. Our purpose is to build the most dependable networks so that people can connect and thrive in the digital age. Why join our team? Learn Empower Grow: Our people are by far our greatest asset. We mentor and grow our team to be leaders in their trade. You will receive ongoing professional and personal development through our Learn; Empower Grow program. We love watching people progress their careers from Apprentice to Project Manager! Team Players: We pride ourselves on creating an open; trusting; safe environment and built on our values of passion; service; excellence; and integrity. Ongoing social activities; including quarterly catch-ups and social get-togethers. Stay Balanced: We believe in real work-life balance for personal wellbeing and professional focus. You will have the ability to accrue up to 2 RDOs per month to help you make the most of your time away from work. Be Recognised: We hold a strong values based culture and have a range of award programs to recognise those who go above and beyond. You will also work for a range of internationally recognised Company’s. Wellbeing: With wellbeing at the heart of our culture; you will have access to 2 pay increases per year under our EA. Access to discounted health insurance and gym membership. About our opportunity: We are seeking a Lead Electrical and Communications Technician for our Sydney team to assist with various projects. The duties include; but are not limited to: Installation and commissioning of commercial communications systems Mentoring and coaching apprentices to progress into an experienced technician. Supervise site activities Ensure the team members complete allocated works in accordance with work orders Plan site activities; including the setting of priorities and allocation of available resources Ensure compliance with WHS requirements Quantify; control; receipt and issue materials required for the timely completion of projects. Manage the client's expectations and build relationships Liaising with Company clients Contributing to the maintenance of a safe working environment What you will need to have as a minimum Apply today if you have the following: A strong background in managing and scheduling small to medium size electrical and communication cabling projects and services. Hold your A Grade Electrical Licence and have your ACMA Licence with endorsements of Structured and Fibre Optics with a number of years industry experience; WHS White Card; Strong leadership skills; proven ability to lead teams of technicians and apprentices to consistently deliver high quality projects and service works; Proven leadership experience and previous experience at a Supervisory level; Great customer service and exceptional attention to detail; A high level of computer skills with proficiency in Word and Excel; Minimum 3 years of industry experience; specifically in the data centre environment; using Power; Fibre and Copper; If you have the above skills and are looking for an exciting and rewarding career with a leading Company apply online today! Only those applicants who hold both their electrical and cabling licence will be considered. Successful candidates are required to have received their COVID - 19 vaccination; or have a medical contraindication certificate. Due to the nature of the work you must be eligible to obtain baseline/NV1 clearance. We respectfully request that there are no approaches from recruitment agencies in relation to this role. We will be accepting applications and enquiries from direct applicants only. Job Type: Full-time Salary: $45.00 – $50.00 per hour Benefits: Company car Employee mentoring program Professional development assistance Schedule: Monday to Friday Supplemental pay types: Overtime pay Ability to commute/relocate: Sydney NSW: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: ACMA licence with endorsements (Required) Electrical Licence (Required) Work Authorisation: Australia (Required)
Electrical Apprentice - Solar - Sydney,Dash Group,Sydney NSW,Permanent Position Competitive Rate + Employee Perks Apprenticeship Support & Training Offered  Our client is an industry-leading solar solutions business based in Sydney and are looking for (preferrably 3rd/4th year) electrician apprentice for residential projects across Sydney. Opportunity to work for nationally recognized and leading businesses within the solar and renewable energy industry.  Great opportunity to further advance your knowledge. Training and Support Provided.  What we need from you? Experience assisting; installing and repairing solar panels 3rd/4th Apprentices favorable / solar background highly considerable Working At Heights ticket and experience working on roofs/heights Extensive experience assisting with rough-ins and fit-offs across either commercial or residential projects Installing; maintaining; repairing; and replacing electrical wiring; lighting; and other components of the electrical systems Inspecting electrical systems to ensure they are safe and meet electrical codes and regulations Operating an electrician’s hand tools such as drills; screwdrivers; pliers; and hammers Installing electrical systems in new residential projects Ability to work effectively in a team or solo Ability to carry out physical duties responsibly and effectively Adhering to site procedures and client management directions On-going commitment and reliability as the role is a perm-placement role. Right-Attitude to commit to location of sites Own tools and own vehicle highly considerable though not essential 1x Successful work reference check (Essential)  What's in it for you? Perm Position Full-time (38hrs p/w) + overtime Work in a fair work environment around skilled workers who carry their own weight On-site training and support provided to complete your apprenticeship efficiently. Opportunity to upskill yourself to a licensed electrician within the company once apprenticeship is completed  If this sounds like it's the role for you; please hit apply ASAP! Have any questions; please contact Paul on 0400 400 151 or send me an email of your resume to paulp@dashgroup.net.au to Fastrack your application.  Previous experience in any of these areas would be advantageous: Construction; Construction Laboring; Rough-Ins; Fit-Offs; Electrical Wiring; Switches; Power Boards; Cleaning; Power tools; Working at Heights; Confined Space; Apprentice; EWP; Skilled Laborer; Residential and Commercial EXP; Set Out; Wire Repairing; Fixtures; Trade Assistants
Electrical Fitter Apprentice - 1st Year,Squad,Sydney NSW,Kick-start your career with a Electrical Fitter Apprenticeship. Squad in conjunction with a global company who specialise in food packaging are seeking a motivated and reliable employee to join their team as a 1st Year Apprentice Electrical Fitter. This is a great opportunity to gain hands on experience and training from qualified professionals and undertake study to gain a nationally recognised qualification. This is a full time position. As an Apprentice Electrical Fitter Mechanic; you will learn to develop and maintain major machinery used in the manufacturing process. The Role Your responsibilities will include but are not limited to; Assist the Qualified Electrical Fitter Mechanics Connect wires and cables to terminals or connectors according to wiring diagrams Investigate power supply issues Carry out basic repairs Maintain WHS on jobsite What are we looking for? Our ideal candidate will have the following; High level of written and oral communication skills High Mechanical Aptitude Proactive; motivated and reliable Be prepared to commit to a 4 year Apprenticeship Benefits for YOU! This is an opportunity to gain valuable hands-on experience while working towards a Certificate III in Electrical Fitting (UEE33011). You will be allocated time on the job to focus on your studies; and access to the support of a Squad Mentor who will visit you on site on a regular basis throughout your apprenticeship. So; what next? Hit the ‘apply’ button now and send your resume to Squad today! sydney.recruit@squad.org.au
"Apprentice Intake 2023, Sydney",1300 Apprentice,Sydney NSW,1300apprentice is a Group Training Organisation which operates throughout NSW and ACT. We are seeking motivated individuals for a wide variety of apprenticeships in various locations across Sydney and the Illawarra / Southern Highlands. These opportunities we be commencing late 2022 or early 2023. We offer apprenticeship opportunities in: Horticulture: landscaping; parks & gardens; retail nursery; sports turf management (green keeping); arboriculture. Electrical: electrical (limited roles available); instrumentation & control; air-con/refrigeration; telecommunications; electronics; cyber security. Metals engineering: automotive (heavy vehicle; light vehicle; body repair; motorcycle); boiler making; fitter/machinist; sheet metals; printing. Construction: carpentry (limited roles available); shopfitting; cabinetmaking; painting and decorating. Please be aware that opportunities in electrical and carpentry are limited due to the expected high number of applications received. Interviews will be held over the below dates during the spring school holidays; however please let us know if you cannot make this time and we will arrange something more suitable. Tuesday 27 September through to Thursday 28 September and Tuesday 4 October through Thursday 6 October. To be considered: A genuine interest in the chosen apprenticeship Commitment to completing a certificate III or IV Must NOT have completed the same qualification or a qualification higher with the same occupational outcome Good communication skills. Perks and benefits: Develop your skills through formal and informal training Earn while you learn All Registered Training Organisation fees are covered by us Mentoring and support throughout your traineeship from your Field Officer A Group Training Organisation is your safety net – we provide job security and stability. You will be employed through 1300apprentice and paid while you undertake a certificate through an accredited Registered Training Organisation while you learn on the job skills in your chosen trade. An apprenticeship is a great way to start your career If you would like to be part of our 2023 intake; please submit your resume and a cover letter stating which apprenticeship you are interested in. 1300apprentice embrace cultural diversity and encourage applicants from all backgrounds and beliefs to apply; however only those eligible to undertake an apprenticeship or traineeship will be contacted for an interview.
"Electrical Tradesman/woman , Trades Assistant, Apprentices",Just Power Group Pty Ltd,Penrith NSW 2750,We are an established Electrical Contracting Company based in Sydney's West. We have established clients with long term work prospects. We now have a fantastic opportunity available for Licenced Tradesmen; Trades Assistants and Apprentices (all years considered) to join our team. The positions available are Monday - Friday with the opportunity to work overtime and Saturdays. The successful candidates will carry out varied and challenging electrical contract work including domestic and commercial wiring; quality control; testing; managing small teams. To be considered for this role you must possess the following: - Must have Domestic Wiring experience - WH&S White Card - Full Drivers Licence with good driving history and be able to drive a manual vehicle is a must. - No criminal history and no drug related offences - Level 2 ticket for metering and underground connections --- desirable but not essential. - Good references Our team of over 30 work hard; are energetic and professional. We have high standards for customer Satisfaction and believe in doing the job right the 1st time; on time. You will need to possess skills in all facets of the electrical field such as fault finding; testing; and being up to date with the latest edition and amendments to wiring and service rules. We maintain a strict quality control program to ensure all training is up to date and our quality of work is of a high standard. As a Licensed Electrical Supervisor; you will be required to manage and train a number of apprentices. As an apprentice; you will need to attend TAFE 1 day per week. We will provide the right candidate/s with continued support from our small friendly team and all training needed; you will also be supplied with a vehicle and phone (if position requires). If this sounds like you and you would like to be considered then please apply now with your resume and cover letter. Only those with qualifications recognised in Australia will be considered. Please DO NOT apply if your qualifications are not current and recognised in NSW as this position requires an immediate start. Job Type: Full-time Salary: $24.00 – $30.00 per hour Schedule: 8 hour shift Supplemental pay types: Overtime pay Licence/Certification: White Card (Preferred) Driver Licence (Required) Work Authorisation: Australia (Required)
Apprentice/Beauty assistant/Beautician/Senior Beauty Therapist,Charming Beauty Centre,Sydney NSW,FULL TIME / PART TIME / CASUAL AVAILABLE - IMMEDIATE START!!! Charming Beauty Centre is a Boutique Salon that specialize in Facial Skin Care Treatments and lashes service. which began in Hong Kong since 2006 and Sydney-Chatswood in 2012 has now expanded to new location in Sydney CBD. We are seeking 2 x Beauty Therapist and 1 x (Beauty assistances or Apprentice) to join our lovely team! Previous experience in a beauty salon background is advantageous; but not a MUST as all further training is provided. Training will be provided by our 10years experience manager. Welcome for students/ working holiday visa/ bilingual / fluent in English and Chinese You must be: * Great time management * A quick learner * Willing to learn all the type of beauty services * Working on weekend * Strong sales background and great communicate skill * Reliable * 2 years experience in beauty salon for beauty therapists * Beauty Assistant - NO experience requirements but need to have strong desire to learn about beauty and passion for all things related to beauty. Duties & Roles: (Further training provided) * All type of facial treatment (experienced in extraction preferable) * Scarring removal treatment * Facial / body massage and body treatment * Body slimming treatment - use a variety of treatments and electrical equipment to treat skin and body conditions * Remove facial and body hair by Laser machine * Eyelash extensions and eyelash lifting and tinting * Perform reception duties (such as receiving bookings and arranging appointments) * Maintain client records * Provide advice about and sell skincare products and related beauty product. Job Types: Full-time; Part-time; Contract; Subcontract Salary: $25.00 – $55.00 per hour Benefits: Employee discount Schedule: 8 hour shift Supplemental pay types: Commission Performance bonus Experience: Beautician: 1 year (Preferred) Language: Multilingual (Preferred) Licence/Certification: Beauty qualification (Preferred)
1st year Electrical Apprentice - Clean Energy Sector,1300apprentice,Cronulla NSW,Looking to become a 1st Year Electrical Apprentice? Interested in Clean Energy Technology Then this is the role for you Clean Energy Council Accredited Host; Future Proof Your Career Cronulla Base About our Partner: 1300apprentice has a fantastic opportunity for a committed 1st Year Electrical Apprentice to join our Partner; a Leader in the renewable energy sector. With service provisions that span Solar; Batterie energy Storage; Automation and Lighting. Working with a team of Master Electricians; who are Clean Energy Council Accredited. You will learn your trade from true professionals You will be working across various commercia and domestic sites in and around Sydney; Southwest and Illawarra Region. Learning all aspects of; clean energy electrical work; electronics; lighting control; solar and batterie; installation; repair; maintenance; and much more! About You: Have a passion for becoming a professional electrical tradesperson Have excellent communication skills and be well presented Self-motivated; with good initiative Have a strong customer service focus Have good maths skills and technically minded Willing to undertake drug and alcohol testing Committed to working safely Punctual; reliable and well presented Driver's licence is desirable but not essential! Committed to completing a 4-year apprenticeship Before commencing you will be required to obtain; with our support: Working with Children Clearance Police Clearance White Card Working at Heights Card The Benefits: Learn new and emerging Clean Energy Technology; future proofing your career Working with a Leader in their sector Gain a Certificate III in Electrotechnology Fortnightly career coaching program for all team member Learn from industry-leading Master Technicians You may qualify for the government new apprentice incentive of $5000K Uniforms and PPE provided Dedicated 1300apprentice mentor Apply Today: If this sounds like the opportunity you've been looking for then submit your up-to-date resume. With a brief cover letter outlining why this role interests you Please note that applicants MUST have full unrestricted work rights in Australia. Due to the high volume of applications received by 1300apprentice; only shortlisted applicants will be contacted. We would like to take this opportunity to thank you for taking the time to submit your application and considering 1300apprentice as a potential employer. We encourage you to apply for opportunities we have advertised in the future. For more jobs; go to: //www.1300apprentice.com.au About us: Working with large and small employers; 1300apprentice connects apprentices and trainees to the right employer. A for-purpose organisation with over 30 years of experience in Vocational Education & Training; our professional; approachable team are here to help you. With an experienced mentor to support and guide you; we aim to see you succeed and confidently grow as a person and professional. 1300apprentice values and recognises diversity in the workplace. We are an equal opportunity employer and actively support applicants from a diverse range of backgrounds to apply. We offer safe and inclusive working environments where you can learn; grow and achieve your career objectives Job Types: Full-time; Apprenticeship Salary: $450.00 – $790.00 per week Benefits: Employee mentoring program Referral program Schedule: 8 hour shift Day shift Supplemental pay types: Overtime pay Penalty rates Application Question(s): Have you received and COVID vaccinations Education: High School (Year 9-11) (Preferred) Experience: small power tools: 1 year (Preferred) Licence/Certification: Driver License P or Higher (Preferred) Work Authorisation: Australia (Required)
1st Year Electronics and Communications Apprentice,MEGT Australia Ltd,Silverwater NSW,MEGT is looking for dedicated; committed and enthusiastic Apprentice Technicians! This is your opportunity to earn while you learn and secure a 4 year Apprenticeship! Roles are available across the Sydney Metro area.  As a 1st year Apprentice Technician; you will learn installation and servicing of Nurse Call; Access Control; Security DECT; Paging; System Integration; CCTV; MATV; Intercom; and other electronic systems. This is an Electro Technology role working full time; while studying a CERT III in Electronics and Communication.  The Role: Service and Installation Customer service Warehouse and Logsitics Site visits Orders and Administration Technical Support The Ideal Candidate: Strong knowledge and understanding of electronics and their application Openness and integrity; Self - management; Ability to manage workflows Ability to analyse and problem solve Decision making/exercising judgement related for the own are of responsibility Customer (internal and external) engagement and responsiveness White Card ideal; can be provided on the job Driving Licence and a Vehicle - MUST HAVE Excellent verbal and written communication skills Dedicated; committed and enthusiastic about learning Electro-technology skills Eligibility criteria applies for this program in relation to work rights; prior qualifications and full vaccination against Covid-19 and flu vaccination requirements. Interested?  Established in 1982; MEGT matches businesses with the best talent across Australia. Our core focus is to provide job seekers with the chance to gain a nationally recognised qualification; practical hands-on industry experience whilst earning a full-time wage!  So; what are you waiting for?  Launch your Electronics career and set the path to success!  Apply Now! Any further enquiries; please do not hesitate to contact Steph on 0408 058 621  MEGT (Australia) is a Child Safe and Equal Opportunity employer committed to child safety and providing a work environment that values diversity and inclusion.  16 November; 2022 Closes in 8 days (16/12/2022) Electrical; Electronics &amp; Utilities Silverwater; New South Wales
3rd / 4th Year Electrical Apprentice,Amped Automation,Northern Beaches NSW,Your new role You will be required to undertake the following tasks: Electrical Installations Automated Systems Install AV Install Security Install What you'll need to succeed To be successful in this role; it is essential for you to meet the following criteria: Currently completing 3rd or 4th year of Electrical Apprenticeship Drivers license and ability to drive manual COVID vaccination What you'll get in return This organisation provides neat; tidy; high tech & modern office space. This role provides full-time hours on a permanent basis; Monday to Friday; 8am – 5pm This role offers the opportunity to work closely with the MD to further develop your skill within the industry Personal Attributes Fast learner; with hunger to upskill Open to taking on any task as required by the company High level of customer service
Electrical Fitter - Rydalmere,Sulzer,Rydalmere NSW,Electrical Fitter - Rydalmere - Full Time - Rydalmere; Australia  At Sulzer; you are empowered to deliver superior results. As a pioneer in industry we have a proud heritage of innovation and continue to evolve for the future. Join our story and create your own impact by developing your expertise and building solutions that help make our lives safer; smarter and more sustainable.  Join our team within Services division in Australia as Electrical Fitter - Rydalmere to help us take Sulzer to the next level.  In this role you will be accountable for: Repair of LV & HV electrical rotating machinery; motor overhauls; rewinds and repairs. Rewind Electric Motors and Generators; including DC and PM motors. Assist Section Supervisor with the supervision and training of apprentices. Attend onsite to effectively conduct repair of electrical rotating equipment Support Mechanical Division when needed by trouble shooting pumps & mixers.  To succeed in this role; you will need: Dedication to working in a safe manner at all times. Australian recognized Trade Certificate level III in Electrical Fitting; Electrical Machine Repair; or equivalent or willingness to acquire. Experience in overhaul; repair and rewind of DC motors; Strong prioritisation; organisational and time management skills. Ability to follow company policy; procedures; training regimes.  Your benefits: Variety of work at service centre location and field work Site allowances for field work Technical training and development On-site car parking Employee Assistance Program Sulzer in motion Health and Wellbeing program  Have a question about the role? Reach out to Blake Reardon at Blake.Reardon@sulzer.com. We are looking forward to hearing from you!  Sulzer is an equal opportunity employer; committed to the strength of a diverse workforce.   83% of our employees recommend Sulzer as a good place to work and we are proud to be recognized as a Top Employer 2022 in Switzerland. So come and join our story; starting today!
Electrical apprenticeship,1300 Apprentice,Sutherland Shire NSW +2 locations,Are you a 1st – 4th year Electrical apprentice; looking for a new company to continue your apprenticeship? Or perhaps keen to start your apprenticeship? 1300apprentice currently have a fantastic opportunity for an individual to continue or start an Electrical Apprenticeship with a reputable employer based in the Sutherland Shire. Duties that you will be responsible for but not limited too: Installation and maintenance works Domestic; Industrial and Commercial works Fault finding Pre-Requisites: If you are a current apprentice you must have TAFE Transcripts to prove level of study. Drivers licence and own transport Have own basic hand and power tools White card Benefits and Perks: Wide scope of works High quality reputation and quality of work Working away at times for work when required. To be successful: Have a passion for this trade and wants to be part of a growing business once completed apprenticeship Well presented Punctual and reliable Great attitude towards work Must be able to show initiative and be able to communicate well with others. To apply; simply click Apply and attach your resume and cover letter. Please note that this Host is looking for someone to start immediately or with a short notice period. Students currently doing their HSC and looking for a January start may not be considered. Suitable candidates only will be contacted for an interview.
Apprentice Plumber,Quality Trades Service and Management (QTSM),Sydney NSW,At a glance: $23.00 per hour rate Full-time work Fortnightly wage Great working environment and friendly team Potential for permanency role pending on the completion of apprenticeship Signing bonus upon completion of probationary period About us: Quality Trades Service and Management (QTSM) provides plumbing and electrical maintenance services to commercial and government clients. We are a professional team of tradespeople who have been in the industry for over 20 years; and have continuously been able to exceed our clients expectations by providing outstanding service and high quality results. We are experts in our field and over years of serving the building industry; we have built a reputation on excellence; reliability and quality of the services we provide. QTSM (Plumbing & Drainage) is looking at hiring 2nd and 3rd year apprentice plumbers for full time work who are passionate about customer service and delivering professional work for clients to join our friendly trades team. Must have: Working rights in Australia Full Covid Vaccinations A Construction Induction Safety Certificate (White Card) Or a willingness to obtain a Working with Children Check (WWCC) Or a willingness to obtain a Police Check An appropriate plumbing qualification Driver licence Own hand tools and basic power tools Must have 2-3 years plumbing experience Ability to work alone and be self-motivated Vast diverse range of jobs including (Construction on building sites; maintenance; new home builds) Drainage; rough-in and fit off experience a must for residential new built homes Successful applicants may be required to pass screening checks prior to commencing Job Type: Full-time Pay: $22.59 – $25.00 per hour Schedule: Shift work Ability to commute/relocate: Sydney NSW: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: Driver Licence (Required) White Card (Required) Work Authorisation: Australia (Required)
Motor Mechanic Apprentice,Leichhardt Automotive,Leichhardt NSW 2040,LEICHHARDT AUTOMOTIVE Repairs and maintenance a variety of Local; European and Japanese vehicles - Outstanding training opportunity - Modern clean workshop LEICHHARDT AUTOMOTIVE is a busy Mechanical Workshop located in Leichhardt close to train station; buses and light rail. Advance your career and work in an RMS approved Modification certifier and multi award winning true mechanical workshop situated in Leichhardt specialising in all types of service; repairs and modifications to local; Japanese and European vehicles. About the role We currently have an opportunity available for a motivated; reliable MOTOR MECHANIC and MOTOR MECHANIC APPRENTICE to join our team and gain valuable knowledge and experience in all types of mechanical repairs including Fuel Injection; Suspension;power steering; Wheel Alignment; Air Conditioning ; Diagnostic and Electrical Repairs just to name a few. We service and repair all makes and models. We repair; overhaul; modify and certify most things in-house. If you are looking to advance your career in the Automotive industry; then a change could be the beginning of a great future. Job Type: Full-time Salary: $40;660.00 – $85;000.00 per year Schedule: 8 hour shift Supplemental pay types: Overtime pay Ability to commute/relocate: Leichhardt; NSW 2040: Reliably commute or planning to relocate before starting work (Required) Work Authorisation: Australia (Required)
2nd Year Electrical Apprentice,MEGT Australia Ltd,Padstow NSW,2nd Year Apprentice Opportunity Everlast Electrical has a new opportunity for a 2nd year Apprentice to join our team; we specialise in all aspects of domestic and commercial electrical work. Working with us you will have the opportunity to confidently complete your trade with all the skills you need to be a successful electrician. To be successful you will need to have the following: You Must have: Car and licence Be a 2nd or 3rd year apprentice Good customer service skills Be punctual and reliable Please note: No phone enquiries will be taken; and only short listed candidates will be contacted To be eligible for an apprenticeship or traineeship you must be an Australian Citizen or Permanent Resident need only apply  1 December; 2022 Closes in 28 days (05/01/2023) Electrical; Electronics & Utilities Padstow; New South Wales
Project Supervisor – Electrical,TOBCO,North Sydney NSW 2060,REPORTS TO: Construction Managers as delegated. DESCRIPTION: A Project Supervisor performs the following tasks Hold daily meetings with your teams and ensure notes/minutes are taken and all hazards and safety issues are addressed at this meeting. Establish new projects; including sourcing documentation; liaising with compliance officers; setting up site safely; planning the work with Project Manager; Project Engineer or Site Engineer; identify major risks; and identify long lead items. Ensure new starters are introduced to the team and are given support to be productive and efficient. Ensure subcontractors and suppliers are engaged properly and that any procurement is done with Managements’ full knowledge. Enhances organisation reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Provide assistance to Management in the day to day running of the business. Identify risks early and inform Management as soon as you become aware of them. Keep records of all costs and provide invoices; dockets; time sheets and receipts as soon as practically possible to the Administration team. Attend a weekly and monthly meeting with the Construction team to discuss progress and business-related activities. Carry out project administration and liaison with network authorities and client with the upmost due diligence to ensure negative feedback or non-conformances are not received Ensure the safety of all personnel onsite when carrying out work; identify training required; right equipment for the project; administer and record risks on work sites and the training given to work crews Source quotations and procure materials. Represent the business as a positive and progressive business at all times. Provide leadership in all areas of safety; quality and environmental core values of the business. JOB DIMENSIONS AND RELATIONSHIPS: He/she is required to attend client meetings as required and provide assistance to Management in the day to day running of the business. He/she must be willing to help the business at all times in all manner of tasks. He/she will be required to establish a rapport with the Energy Authorities. SAFETY: Promote clean and tidy work sites; plant and equipment and the storage of materials. Maintain effective organisational skills to manage this aspect. Keep plant and equipment secure and well maintained. He/she is responsible for setting up site safety. PERSONAL REQUIREMENTS: Enjoy Practical and Manual Work Ability to give presentations and comfortably speak publicly. Ability to follow precise instructions Be able to work as part of a team and be able to manage and lead a team effectively. EDUCATION AND TRAINING Relevant Trade or Engineering qualifications. Appropriate tickets and competencies (white card etc.) Must complete Network Authorisation and WHS refresher training annually. SPECIALISED JOB KNOWLEDGE/DEMONSTRATED ABILITY Demonstrated commitment to improvements in safety and performance; environmental performance and legal compliance. Continue to develop knowledge in Ausgrid; Endeavour and Essential Energy Systems. CRITICAL COMPETENCIES: Safety Commitment to follow safety procedures and requirements; legislative or otherwise; and design policies that comply with these requirements. Ensure tool box talks are completed and uploaded daily via GoCanvas. Ensure everyone on site is wearing the correct PPE. Raise safety concerts to CM; PM; PE Dependability Ability to meet deadlines on scheduled work and to efficiently complete assigned tasks. Leads by example. Can take on the responsibility and leadership of running work sites in consultation with PM; PE and SE. Assists in planning and scheduling in consultation with PM; PE and SE. Liaise with sub-contractors on site with planning and organisation. Communicate material and plant shortfalls in advance to complete works. Ensure that all aspects of the project have been accounted and controlled for. Ensure a high level of accuracy in work. Team Work Be able to effectively and productively within a team environment where task completion is reliant on the co-operation of all members of the team. Leads by example. Mentors work crew and apprentices. Work Quality Ability to perform maintenance activities and associated tasks to a high standard in an environment where safe work practices are critical. Advanced Electrical Trade Skills. Fill out quality documentation ITC’s and provide to PM; PE or SE at the end of shift. Commerciality Understand the project scope of works; inclusions and exclusions so any variations can be flagged to PM/PE. Understand the Project Drawings and raise any concerns or changes to the PM/PE. Ensure Project Site Diaries are completed and uploaded daily via GoCanvas. Ensure photos are uploaded and labelled daily. For the email submissions send to jobs@tobco.com.au
2nd Year Electrical Apprentice,Sarina Russo Apprenticeships,Prestons NSW 2170,Job Description Sarina Russo Apprenticeships client based in Prestons; NSW is currently seeking a 2nd Year Electrical Apprentice to join their team. Successful applicants will have the opportunity to learn how to select; install; set up; test; fault find; repair and maintain electrical systems and equipment in buildings and premises along with measurement; recording of physical/chemical phenomena. You will also work towards completing the Certificate III in Electrotechnology Electrician. They are looking for apprentice maximum 30km from the factory; if closer is better. The position is a full-time employment. About the role: As an electrical apprentice your roles will be to assist the licenced electricians in assembling panels in workshop; installing special purpose machines at their local client sites and working closely with the electrical designers and software engineers. To be considered for this role; you must be: 2nd year electrical apprentice Proficient problem-solving abilities Good attention to detail Good communication skills Able to read and comprehend electrical schematics Able to work well in a team Reliable and dependable Demonstrated willingness to learn and grow Developing ability to interpret standards of electrical wiring; cabling; electrical and electronic components. Able to interpret and practice Work Health and Safety Standards Additional Information Occupation: Electrician Occupation Category: Electrical; Electronics and Utilities Closing Date: Available Positions: 1
